Date,Open,High,Low,Close,Volume,MarketCap
1980-03-17,1.509224109126083,1.5423937725660049,1.509224109126083,1.5258091688156128,271547,339574384.4652891
1980-03-18,1.5258094658824148,1.5313377290007533,1.5092244029638635,1.520280838012695,376188,338344034.32197565
1980-03-19,1.536866076612455,1.570035659114145,1.536866076612455,1.547922968864441,858746,344495891.160388
1980-03-20,1.547923119871858,1.547923119871858,1.536866226541218,1.5423943996429443,144422,343265487.956152
1980-03-21,1.5423943996429443,1.5423943996429443,1.5258097891499014,1.5423943996429443,106370,343265487.956152
1980-03-24,1.5313370364517502,1.5313370364517502,1.4871104955673218,1.4871104955673218,744593,330961853.8707113
1980-03-25,1.4871107009746871,1.492638962356455,1.4649974730719828,1.470526099205017,112424,327270936.09307766
1980-03-26,1.4705268530265787,1.49263972751352,1.4649982240594583,1.4760550260543823,94263,328501418.8886976
1980-03-27,1.4705266349679806,1.4705266349679806,1.459469834612626,1.4649980068206787,133179,326040639.0106869
1980-03-28,1.4760550864932256,1.5479231625546646,1.4760550864932256,1.531338095664978,152205,340804867.2609091
1980-03-31,1.531338133866536,1.542394480650676,1.5258098692865965,1.536866307258606,181608,342035190.8737612
1980-04-01,1.5368653768907838,1.5368653768907838,1.5036957183031,1.5147521495819092,336407,337113604.5872784
1980-04-02,1.503696462336268,1.503696462336268,1.4594699858351354,1.492639660835266,1004898,332192389.72725385
1980-04-03,1.4594691362544885,1.4594691362544885,1.426299480562952,1.4428844451904297,418563,321119185.3765106
1980-04-07,1.4428852275011212,1.453941663809192,1.431828426441628,1.4484134912490845,635628,322349694.7025919
1980-04-08,1.4484138331462728,1.4705270757336542,1.4263005905588912,1.459470272064209,486882,324810421.51968
1980-04-09,1.4815823056728106,1.5147519601115198,1.4815823056728106,1.509223699569702,211876,335883227.9135036
1980-04-10,1.5258096402997472,1.547922968864441,1.5258096402997472,1.547922968864441,40646,344495891.160388
1980-04-11,1.5700353757081564,1.6197901964187622,1.5700353757081564,1.6197901964187622,82156,360490204.2493105
